keyword,well,value,error,date
WBHP,A1,237.8,10.0,2019-05-05
WBHP,A1,214.0,10.0,2019-11-02
WBHP,A1,222.9,10.0,2020-05-05
WBHP,A2,266.8,10.0,2019-05-05
WBHP,A2,261.2,10.0,2019-11-02
WBHP,A2,267.1,10.0,2020-05-05
WBHP,A3,218.2,10.0,2019-05-05
WBHP,A3,200.6,10.0,2019-11-02
WBHP,A3,218.8,10.0,2020-05-05
WBHP,A4,245.2,10.0,2019-05-05
WBHP,A4,243.3,10.0,2019-11-02
WBHP,A4,248.1,10.0,2020-05-05
WBHP,A5,296.2,10.0,2019-05-05
WBHP,A5,307.7,10.0,2019-11-02
WBHP,A5,289.5,10.0,2020-05-05
WBHP,A6,287.1,10.0,2019-05-05
WBHP,A6,294.1,10.0,2019-11-02
WBHP,A6,290.4,10.0,2020-05-05
WGOR,A1,138.32456970214844,50.0,2018-03-30
WGOR,A1,137.20663452148438,50.0,2018-06-22
WGOR,A1,137.1474609375,50.0,2018-09-14
WGOR,A1,134.7957305908203,50.0,2018-12-07
WGOR,A1,133.6744842529297,50.0,2019-03-01
WGOR,A1,150.79522705078125,50.0,2019-05-24
WGOR,A1,181.50244140625,50.0,2019-08-16
WGOR,A1,202.2801971435547,50.0,2019-11-08
WGOR,A1,182.59190368652344,50.0,2020-01-31
WGOR,A1,147.66795349121094,50.0,2020-04-24
WGOR,A2,153.72811889648438,50.0,2018-06-02
WGOR,A2,156.37786865234375,50.0,2018-08-25
WGOR,A2,155.46145629882812,50.0,2018-11-17
WGOR,A2,152.78273010253906,50.0,2019-02-09
WGOR,A2,0.0,50.0,2019-05-04
WGOR,A2,156.41839599609375,50.0,2019-07-27
WGOR,A2,157.92662048339844,50.0,2019-10-19
WGOR,A2,159.18914794921875,50.0,2020-01-11
WGOR,A2,159.24913024902344,50.0,2020-04-04
WGOR,A2,160.32638549804688,50.0,2020-06-27
WGOR,A3,256.6658935546875,50.0,2018-10-05
WGOR,A3,141.71803283691406,50.0,2018-12-28
WGOR,A3,142.8449249267578,50.0,2019-03-22
WGOR,A3,161.7709197998047,50.0,2019-06-14
WGOR,A3,161.30799865722656,50.0,2019-09-06
WGOR,A3,156.68983459472656,50.0,2019-11-29
WGOR,A3,149.95159912109375,50.0,2020-02-21
WGOR,A3,142.96775817871094,50.0,2020-05-15
WGOR,A4,136.2583465576172,50.0,2018-12-15
WGOR,A4,133.3849639892578,50.0,2019-03-09
WGOR,A4,133.1396942138672,50.0,2019-06-01
WGOR,A4,135.09825134277344,50.0,2019-08-24
WGOR,A4,135.28724670410156,50.0,2019-11-16
WGOR,A4,134.9546356201172,50.0,2020-02-08
WGOR,A4,0.0,50.0,2020-05-02
WOPRL__1,A3,266.0,100.0,2019-08-01
WOPRL__1,A4,825.0,100.0,2019-08-01
WOPRL__2,A3,0.0,100.0,2019-08-01
WOPRL__3,A3,1072.0,100.0,2019-08-01
WOPRL__3,A4,1800.0,100.0,2019-08-01
WWCT,A1,2.990008169945213e-06,0.1,2018-03-30
WWCT,A1,2.9680345505767036e-06,0.1,2018-06-22
WWCT,A1,2.8782408207916887e-06,0.1,2018-09-14
WWCT,A1,2.976913492602762e-06,0.1,2018-12-07
WWCT,A1,0.000736650254111737,0.1,2019-03-01
WWCT,A1,0.035560693591833115,0.1,2019-05-24
WWCT,A1,0.06950899958610535,0.1,2019-08-16
WWCT,A1,0.20865759253501892,0.1,2019-11-08
WWCT,A1,0.3314569592475891,0.1,2020-01-31
WWCT,A1,0.4636625051498413,0.1,2020-04-24
WWCT,A2,0.10108489543199539,0.1,2018-06-02
WWCT,A2,0.25315606594085693,0.1,2018-08-25
WWCT,A2,0.2776966989040375,0.1,2018-11-17
WWCT,A2,0.283459335565567,0.1,2019-02-09
WWCT,A2,0.0,0.1,2019-05-04
WWCT,A2,0.32546260952949524,0.1,2019-07-27
WWCT,A2,0.351017028093338,0.1,2019-10-19
WWCT,A2,0.37808743119239807,0.1,2020-01-11
WWCT,A2,0.4027750790119171,0.1,2020-04-04
WWCT,A2,0.43981707096099854,0.1,2020-06-27
WWCT,A3,0.00023010979930404574,0.1,2018-10-05
WWCT,A3,0.22004300355911255,0.1,2018-12-28
WWCT,A3,0.38389915227890015,0.1,2019-03-22
WWCT,A3,0.45054447650909424,0.1,2019-06-14
WWCT,A3,0.4891080856323242,0.1,2019-09-06
WWCT,A3,0.5082587003707886,0.1,2019-11-29
WWCT,A3,0.5267271399497986,0.1,2020-02-21
WWCT,A3,0.5443038940429688,0.1,2020-05-15
WWCT,A4,8.481842087348923e-06,0.1,2018-12-15
WWCT,A4,0.081839919090271,0.1,2019-03-09
WWCT,A4,0.2239859402179718,0.1,2019-06-01
WWCT,A4,0.3734499514102936,0.1,2019-08-24
WWCT,A4,0.4346226453781128,0.1,2019-11-16
WWCT,A4,0.49893033504486084,0.1,2020-02-08
WWCT,A4,0.0,0.1,2020-05-02
WWIRL__1,A5,3943.0,200.0,2019-08-01
WWIRL__1,A6,1164.0,200.0,2019-08-01
WWIRL__2,A5,1929.0,200.0,2019-08-01
WWIRL__2,A6,3107.0,200.0,2019-08-01
WWIRL__3,A5,2127.0,200.0,2019-08-01
WWIRL__3,A6,3729.0,200.0,2019-08-01
WWPRL__3,A3,1211.0,100.0,2019-08-01
